State,Veteran,Nonveteran,Difference
Alabama,49953.00,30988.00,0.61
Alaska,64673.00,41979.00,0.54
Arizona,49618.00,38786.00,0.28
Arkansas,40334.00,31185.00,0.29
California,54488.00,40522.00,0.34
Colorado,57457.00,45636.00,0.26
Connecticut,55989.00,44399.00,0.26
Delaware,54770.00,40650.00,0.35
District of Columbia,77523.00,66245.00,0.17
Florida,50111.00,34555.00,0.45
Georgia,50833.00,36259.00,0.40
Hawaii,58936.00,40840.00,0.44
Idaho,47064.00,34698.00,0.36
Illinois,49976.00,40806.00,0.22
Indiana,44659.00,36650.00,0.22
Iowa,45570.00,39590.00,0.15
Kansas,47280.00,37157.00,0.27
Kentucky,43325.00,32379.00,0.34
Louisiana,43845.00,30766.00,0.43
Maine,42970.00,37028.00,0.16
Maryland,67365.00,46779.00,0.44
Massachusetts,55634.00,46584.00,0.19
Michigan,44470.00,36244.00,0.23
Minnesota,48043.00,43857.00,0.10
Mississippi,42233.00,29181.00,0.45
Missouri,42357.00,35930.00,0.18
Montana,45240.00,35230.00,0.28
Nebraska,51535.00,38679.00,0.33
Nevada,50795.00,36154.00,0.40
New Hampshire,57485.00,44233.00,0.30
New Jersey,57671.00,46434.00,0.24
New Mexico,49517.00,31544.00,0.57
New York,49538.00,41029.00,0.21
North Carolina,49155.00,35932.00,0.37
North Dakota,53544.00,41295.00,0.30
Ohio,46262.00,36572.00,0.26
Oklahoma,45560.00,32208.00,0.41
Oregon,47197.00,38358.00,0.23
Pennsylvania,46046.00,38462.00,0.20
Rhode Island,53050.00,41533.00,0.28
South Carolina,48584.00,33416.00,0.45
South Dakota,49443.00,38423.00,0.29
Tennessee,47710.00,34828.00,0.37
Texas,54073.00,36656.00,0.48
Utah,56425.00,39729.00,0.42
Vermont,46789.00,40153.00,0.17
Virginia,68124.00,41429.00,0.64
Washington,55474.00,45865.00,0.21
West Virginia,43120.00,30220.00,0.43
Wisconsin,45764.00,40164.00,0.14
Wyoming,52022.00,36893.00,0.41
Puerto Rico,28972.00,15678.00,0.85
